chromosome	start	end	core_start	core_end	fold	role	block_id	block_start	block_end	split_revision
I	2815577	3864153	2815577	3864153	2	train	I_block_2	2814553	4387417	six_chromosome_blocks_v1
I	3337817	4386393	3337817	4386393	2	train	I_block_2	2814553	4387417	six_chromosome_blocks_v1
I	5439065	6487641	5439065	6487641	2	train	I_block_3	5438041	7010905	six_chromosome_blocks_v1
I	5961305	7009881	5961305	7009881	2	train	I_block_3	5438041	7010905	six_chromosome_blocks_v1
I	13309529	14358105	13309529	14358105	2	train	I_block_6	13308505	14881369	six_chromosome_blocks_v1
I	13831769	14880345	13831769	14880345	2	train	I_block_6	13308505	14881369	six_chromosome_blocks_v1
I	10686041	11734617	10686041	11734617	2	train	I_block_5	10685017	12257881	six_chromosome_blocks_v1
I	11208281	12256857	11208281	12256857	2	train	I_block_5	10685017	12257881	six_chromosome_blocks_v1
II	5542558	6591134	5542558	6591134	2	train	II_block_3	5541534	7114398	six_chromosome_blocks_v1
II	6064798	7113374	6064798	7113374	2	train	II_block_3	5541534	7114398	six_chromosome_blocks_v1
II	295582	1344158	295582	1344158	2	train	II_block_1	294558	1867422	six_chromosome_blocks_v1
II	817822	1866398	817822	1866398	2	train	II_block_1	294558	1867422	six_chromosome_blocks_v1
II	10789534	11838110	10789534	11838110	2	train	II_block_5	10788510	12361374	six_chromosome_blocks_v1
II	11311774	12360350	11311774	12360350	2	train	II_block_5	10788510	12361374	six_chromosome_blocks_v1
II	13413022	14461598	13413022	14461598	2	train	II_block_6	13411998	14984862	six_chromosome_blocks_v1
II	13935262	14983838	13935262	14983838	2	train	II_block_6	13411998	14984862	six_chromosome_blocks_v1
III	2695548	3744124	2695548	3744124	2	train	III_block_2	2694524	4005244	six_chromosome_blocks_v1
III	2955644	4004220	2955644	4004220	2	train	III_block_2	2694524	4005244	six_chromosome_blocks_v1
III	9779580	10828156	9779580	10828156	2	train	III_block_5	9778556	11089276	six_chromosome_blocks_v1
III	10039676	11088252	10039676	11088252	2	train	III_block_5	9778556	11089276	six_chromosome_blocks_v1
III	5056892	6105468	5056892	6105468	2	train	III_block_3	5055868	6366588	six_chromosome_blocks_v1
III	5316988	6365564	5316988	6365564	2	train	III_block_3	5055868	6366588	six_chromosome_blocks_v1
III	12140924	13189500	12140924	13189500	2	train	III_block_6	12139900	13450620	six_chromosome_blocks_v1
III	12401020	13449596	12401020	13449596	2	train	III_block_6	12139900	13450620	six_chromosome_blocks_v1
IV	9273250	10321826	9273250	10321826	2	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v1
IV	9797538	10846114	9797538	10846114	2	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v1
IV	10188706	11237282	10188706	11237282	2	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v1
IV	3239842	4288418	3239842	4288418	2	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v1
IV	3764130	4812706	3764130	4812706	2	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v1
IV	4155298	5203874	4155298	5203874	2	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v1
IV	223138	1271714	223138	1271714	2	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
IV	747426	1796002	747426	1796002	2	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
IV	1138594	2187170	1138594	2187170	2	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
IV	6256546	7305122	6256546	7305122	2	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v1
IV	6780834	7829410	6780834	7829410	2	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v1
IV	7172002	8220578	7172002	8220578	2	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v1
V	14529418	15577994	14529418	15577994	2	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	15053706	16102282	15053706	16102282	2	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	15577994	16626570	15577994	16626570	2	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	15969162	17017738	15969162	17017738	2	train	V_block_5	14528394	17018762	six_chromosome_blocks_v1
V	3906442	4955018	3906442	4955018	2	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	4430730	5479306	4430730	5479306	2	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	4955018	6003594	4955018	6003594	2	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	5346186	6394762	5346186	6394762	2	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	365450	1414026	365450	1414026	2	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	889738	1938314	889738	1938314	2	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	1414026	2462602	1414026	2462602	2	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	1805194	2853770	1805194	2853770	2	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	7447434	8496010	7447434	8496010	2	train	V_block_3	7446410	9936778	six_chromosome_blocks_v1
V	7971722	9020298	7971722	9020298	2	train	V_block_3	7446410	9936778	six_chromosome_blocks_v1
V	8496010	9544586	8496010	9544586	2	train	V_block_3	7446410	9936778	six_chromosome_blocks_v1
V	8887178	9935754	8887178	9935754	2	train	V_block_3	7446410	9936778	six_chromosome_blocks_v1
X	335695	1384271	335695	1384271	2	train	X_block_1	334671	2300751	six_chromosome_blocks_v1
X	859983	1908559	859983	1908559	2	train	X_block_1	334671	2300751	six_chromosome_blocks_v1
X	1251151	2299727	1251151	2299727	2	train	X_block_1	334671	2300751	six_chromosome_blocks_v1
X	6369103	7417679	6369103	7417679	2	train	X_block_3	6368079	8334159	six_chromosome_blocks_v1
X	6893391	7941967	6893391	7941967	2	train	X_block_3	6368079	8334159	six_chromosome_blocks_v1
X	7284559	8333135	7284559	8333135	2	train	X_block_3	6368079	8334159	six_chromosome_blocks_v1
X	3352399	4400975	3352399	4400975	2	train	X_block_2	3351375	5317455	six_chromosome_blocks_v1
X	3876687	4925263	3876687	4925263	2	train	X_block_2	3351375	5317455	six_chromosome_blocks_v1
X	4267855	5316431	4267855	5316431	2	train	X_block_2	3351375	5317455	six_chromosome_blocks_v1
X	12402511	13451087	12402511	13451087	2	train	X_block_5	12401487	14367567	six_chromosome_blocks_v1
X	12926799	13975375	12926799	13975375	2	train	X_block_5	12401487	14367567	six_chromosome_blocks_v1
X	13317967	14366543	13317967	14366543	2	train	X_block_5	12401487	14367567	six_chromosome_blocks_v1
