chromosome	start	end	core_start	core_end	fold	role	block_id	block_start	block_end	split_revision
I	2815577	3864153	2815577	3864153	4	train	I_block_2	2814553	4387417	six_chromosome_blocks_v2
I	3337817	4386393	3337817	4386393	4	train	I_block_2	2814553	4387417	six_chromosome_blocks_v2
I	192089	1240665	192089	1240665	4	train	I_block_1	191065	1763929	six_chromosome_blocks_v2
I	714329	1762905	714329	1762905	4	train	I_block_1	191065	1763929	six_chromosome_blocks_v2
I	5439065	6487641	5439065	6487641	4	train	I_block_3	5438041	7010905	six_chromosome_blocks_v2
I	5961305	7009881	5961305	7009881	4	train	I_block_3	5438041	7010905	six_chromosome_blocks_v2
I	10686041	11734617	10686041	11734617	4	train	I_block_5	10685017	12257881	six_chromosome_blocks_v2
I	11208281	12256857	11208281	12256857	4	train	I_block_5	10685017	12257881	six_chromosome_blocks_v2
II	5542558	6591134	5542558	6591134	4	train	II_block_3	5541534	7114398	six_chromosome_blocks_v2
II	6064798	7113374	6064798	7113374	4	train	II_block_3	5541534	7114398	six_chromosome_blocks_v2
II	2919070	3967646	2919070	3967646	4	train	II_block_2	2918046	4490910	six_chromosome_blocks_v2
II	3441310	4489886	3441310	4489886	4	train	II_block_2	2918046	4490910	six_chromosome_blocks_v2
II	295582	1344158	295582	1344158	4	train	II_block_1	294558	1867422	six_chromosome_blocks_v2
II	817822	1866398	817822	1866398	4	train	II_block_1	294558	1867422	six_chromosome_blocks_v2
II	13413022	14461598	13413022	14461598	4	train	II_block_6	13411998	14984862	six_chromosome_blocks_v2
II	13935262	14983838	13935262	14983838	4	train	II_block_6	13411998	14984862	six_chromosome_blocks_v2
III	2695548	3744124	2695548	3744124	4	train	III_block_2	2694524	4005244	six_chromosome_blocks_v2
III	2955644	4004220	2955644	4004220	4	train	III_block_2	2694524	4005244	six_chromosome_blocks_v2
III	7418236	8466812	7418236	8466812	4	train	III_block_4	7417212	8727932	six_chromosome_blocks_v2
III	7678332	8726908	7678332	8726908	4	train	III_block_4	7417212	8727932	six_chromosome_blocks_v2
III	9779580	10828156	9779580	10828156	4	train	III_block_5	9778556	11089276	six_chromosome_blocks_v2
III	10039676	11088252	10039676	11088252	4	train	III_block_5	9778556	11089276	six_chromosome_blocks_v2
III	12140924	13189500	12140924	13189500	4	train	III_block_6	12139900	13450620	six_chromosome_blocks_v2
III	12401020	13449596	12401020	13449596	4	train	III_block_6	12139900	13450620	six_chromosome_blocks_v2
IV	9273250	10321826	9273250	10321826	4	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v2
IV	9797538	10846114	9797538	10846114	4	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v2
IV	10188706	11237282	10188706	11237282	4	train	IV_block_4	9272226	11238306	six_chromosome_blocks_v2
IV	12289954	13338530	12289954	13338530	4	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v2
IV	12814242	13862818	12814242	13862818	4	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v2
IV	13205410	14253986	13205410	14253986	4	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v2
IV	3239842	4288418	3239842	4288418	4	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v2
IV	3764130	4812706	3764130	4812706	4	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v2
IV	4155298	5203874	4155298	5203874	4	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v2
IV	6256546	7305122	6256546	7305122	4	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v2
IV	6780834	7829410	6780834	7829410	4	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v2
IV	7172002	8220578	7172002	8220578	4	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v2
V	14529418	15577994	14529418	15577994	4	train	V_block_5	14528394	17018762	six_chromosome_blocks_v2
V	15053706	16102282	15053706	16102282	4	train	V_block_5	14528394	17018762	six_chromosome_blocks_v2
V	15577994	16626570	15577994	16626570	4	train	V_block_5	14528394	17018762	six_chromosome_blocks_v2
V	15969162	17017738	15969162	17017738	4	train	V_block_5	14528394	17018762	six_chromosome_blocks_v2
V	10988426	12037002	10988426	12037002	4	train	V_block_4	10987402	13477770	six_chromosome_blocks_v2
V	11512714	12561290	11512714	12561290	4	train	V_block_4	10987402	13477770	six_chromosome_blocks_v2
V	12037002	13085578	12037002	13085578	4	train	V_block_4	10987402	13477770	six_chromosome_blocks_v2
V	12428170	13476746	12428170	13476746	4	train	V_block_4	10987402	13477770	six_chromosome_blocks_v2
V	3906442	4955018	3906442	4955018	4	train	V_block_2	3905418	6395786	six_chromosome_blocks_v2
V	4430730	5479306	4430730	5479306	4	train	V_block_2	3905418	6395786	six_chromosome_blocks_v2
V	4955018	6003594	4955018	6003594	4	train	V_block_2	3905418	6395786	six_chromosome_blocks_v2
V	5346186	6394762	5346186	6394762	4	train	V_block_2	3905418	6395786	six_chromosome_blocks_v2
V	7447434	8496010	7447434	8496010	4	train	V_block_3	7446410	9936778	six_chromosome_blocks_v2
V	7971722	9020298	7971722	9020298	4	train	V_block_3	7446410	9936778	six_chromosome_blocks_v2
V	8496010	9544586	8496010	9544586	4	train	V_block_3	7446410	9936778	six_chromosome_blocks_v2
V	8887178	9935754	8887178	9935754	4	train	V_block_3	7446410	9936778	six_chromosome_blocks_v2
X	335695	1384271	335695	1384271	4	train	X_block_1	334671	2300751	six_chromosome_blocks_v2
X	859983	1908559	859983	1908559	4	train	X_block_1	334671	2300751	six_chromosome_blocks_v2
X	1251151	2299727	1251151	2299727	4	train	X_block_1	334671	2300751	six_chromosome_blocks_v2
X	15419215	16467791	15419215	16467791	4	train	X_block_6	15418191	17384271	six_chromosome_blocks_v2
X	15943503	16992079	15943503	16992079	4	train	X_block_6	15418191	17384271	six_chromosome_blocks_v2
X	16334671	17383247	16334671	17383247	4	train	X_block_6	15418191	17384271	six_chromosome_blocks_v2
X	6369103	7417679	6369103	7417679	4	train	X_block_3	6368079	8334159	six_chromosome_blocks_v2
X	6893391	7941967	6893391	7941967	4	train	X_block_3	6368079	8334159	six_chromosome_blocks_v2
X	7284559	8333135	7284559	8333135	4	train	X_block_3	6368079	8334159	six_chromosome_blocks_v2
X	12402511	13451087	12402511	13451087	4	train	X_block_5	12401487	14367567	six_chromosome_blocks_v2
X	12926799	13975375	12926799	13975375	4	train	X_block_5	12401487	14367567	six_chromosome_blocks_v2
X	13317967	14366543	13317967	14366543	4	train	X_block_5	12401487	14367567	six_chromosome_blocks_v2
