chromosome	start	end	core_start	core_end	fold	role	block_id	block_start	block_end	split_revision
I	192089	1240665	192089	1240665	1	train	I_block_1	191065	1763929	six_chromosome_blocks_v1
I	714329	1762905	714329	1762905	1	train	I_block_1	191065	1763929	six_chromosome_blocks_v1
I	5439065	6487641	5439065	6487641	1	train	I_block_3	5438041	7010905	six_chromosome_blocks_v1
I	5961305	7009881	5961305	7009881	1	train	I_block_3	5438041	7010905	six_chromosome_blocks_v1
I	13309529	14358105	13309529	14358105	1	train	I_block_6	13308505	14881369	six_chromosome_blocks_v1
I	13831769	14880345	13831769	14880345	1	train	I_block_6	13308505	14881369	six_chromosome_blocks_v1
I	10686041	11734617	10686041	11734617	1	train	I_block_5	10685017	12257881	six_chromosome_blocks_v1
I	11208281	12256857	11208281	12256857	1	train	I_block_5	10685017	12257881	six_chromosome_blocks_v1
II	2919070	3967646	2919070	3967646	1	train	II_block_2	2918046	4490910	six_chromosome_blocks_v1
II	3441310	4489886	3441310	4489886	1	train	II_block_2	2918046	4490910	six_chromosome_blocks_v1
II	295582	1344158	295582	1344158	1	train	II_block_1	294558	1867422	six_chromosome_blocks_v1
II	817822	1866398	817822	1866398	1	train	II_block_1	294558	1867422	six_chromosome_blocks_v1
II	10789534	11838110	10789534	11838110	1	train	II_block_5	10788510	12361374	six_chromosome_blocks_v1
II	11311774	12360350	11311774	12360350	1	train	II_block_5	10788510	12361374	six_chromosome_blocks_v1
II	13413022	14461598	13413022	14461598	1	train	II_block_6	13411998	14984862	six_chromosome_blocks_v1
II	13935262	14983838	13935262	14983838	1	train	II_block_6	13411998	14984862	six_chromosome_blocks_v1
III	7418236	8466812	7418236	8466812	1	train	III_block_4	7417212	8727932	six_chromosome_blocks_v1
III	7678332	8726908	7678332	8726908	1	train	III_block_4	7417212	8727932	six_chromosome_blocks_v1
III	9779580	10828156	9779580	10828156	1	train	III_block_5	9778556	11089276	six_chromosome_blocks_v1
III	10039676	11088252	10039676	11088252	1	train	III_block_5	9778556	11089276	six_chromosome_blocks_v1
III	5056892	6105468	5056892	6105468	1	train	III_block_3	5055868	6366588	six_chromosome_blocks_v1
III	5316988	6365564	5316988	6365564	1	train	III_block_3	5055868	6366588	six_chromosome_blocks_v1
III	12140924	13189500	12140924	13189500	1	train	III_block_6	12139900	13450620	six_chromosome_blocks_v1
III	12401020	13449596	12401020	13449596	1	train	III_block_6	12139900	13450620	six_chromosome_blocks_v1
IV	12289954	13338530	12289954	13338530	1	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v1
IV	12814242	13862818	12814242	13862818	1	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v1
IV	13205410	14253986	13205410	14253986	1	train	IV_block_5	12288930	14255010	six_chromosome_blocks_v1
IV	3239842	4288418	3239842	4288418	1	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v1
IV	3764130	4812706	3764130	4812706	1	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v1
IV	4155298	5203874	4155298	5203874	1	train	IV_block_2	3238818	5204898	six_chromosome_blocks_v1
IV	223138	1271714	223138	1271714	1	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
IV	747426	1796002	747426	1796002	1	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
IV	1138594	2187170	1138594	2187170	1	train	IV_block_1	222114	2188194	six_chromosome_blocks_v1
IV	6256546	7305122	6256546	7305122	1	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v1
IV	6780834	7829410	6780834	7829410	1	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v1
IV	7172002	8220578	7172002	8220578	1	train	IV_block_3	6255522	8221602	six_chromosome_blocks_v1
V	10988426	12037002	10988426	12037002	1	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	11512714	12561290	11512714	12561290	1	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	12037002	13085578	12037002	13085578	1	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	12428170	13476746	12428170	13476746	1	train	V_block_4	10987402	13477770	six_chromosome_blocks_v1
V	3906442	4955018	3906442	4955018	1	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	4430730	5479306	4430730	5479306	1	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	4955018	6003594	4955018	6003594	1	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	5346186	6394762	5346186	6394762	1	train	V_block_2	3905418	6395786	six_chromosome_blocks_v1
V	365450	1414026	365450	1414026	1	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	889738	1938314	889738	1938314	1	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	1414026	2462602	1414026	2462602	1	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	1805194	2853770	1805194	2853770	1	train	V_block_1	364426	2854794	six_chromosome_blocks_v1
V	7447434	8496010	7447434	8496010	1	train	V_block_3	7446410	9936778	six_chromosome_blocks_v1
V	7971722	9020298	7971722	9020298	1	train	V_block_3	7446410	9936778	six_chromosome_blocks_v1
V	8496010	9544586	8496010	9544586	1	train	V_block_3	7446410	9936778	six_chromosome_blocks_v1
V	8887178	9935754	8887178	9935754	1	train	V_block_3	7446410	9936778	six_chromosome_blocks_v1
X	15419215	16467791	15419215	16467791	1	train	X_block_6	15418191	17384271	six_chromosome_blocks_v1
X	15943503	16992079	15943503	16992079	1	train	X_block_6	15418191	17384271	six_chromosome_blocks_v1
X	16334671	17383247	16334671	17383247	1	train	X_block_6	15418191	17384271	six_chromosome_blocks_v1
X	6369103	7417679	6369103	7417679	1	train	X_block_3	6368079	8334159	six_chromosome_blocks_v1
X	6893391	7941967	6893391	7941967	1	train	X_block_3	6368079	8334159	six_chromosome_blocks_v1
X	7284559	8333135	7284559	8333135	1	train	X_block_3	6368079	8334159	six_chromosome_blocks_v1
X	3352399	4400975	3352399	4400975	1	train	X_block_2	3351375	5317455	six_chromosome_blocks_v1
X	3876687	4925263	3876687	4925263	1	train	X_block_2	3351375	5317455	six_chromosome_blocks_v1
X	4267855	5316431	4267855	5316431	1	train	X_block_2	3351375	5317455	six_chromosome_blocks_v1
X	12402511	13451087	12402511	13451087	1	train	X_block_5	12401487	14367567	six_chromosome_blocks_v1
X	12926799	13975375	12926799	13975375	1	train	X_block_5	12401487	14367567	six_chromosome_blocks_v1
X	13317967	14366543	13317967	14366543	1	train	X_block_5	12401487	14367567	six_chromosome_blocks_v1
